what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557412
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557444
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557473
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557507
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557539
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557571
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557598
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557637
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557663
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557694
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557724
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557755
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557789
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557819
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700557847
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700558137
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700558357
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700558542
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1285700558728
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285700586151
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285700593131
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285700598948
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285700604213
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285700612958
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285700614218
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285700615263
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1285700640430
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700651303
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700921958
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700930007
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700930035
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700930100
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700938789
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700940370
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700980057
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1285700981675
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1285700984448
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700988252
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700988990
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700989381
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700990299
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700990664
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700992741
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285700993387
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1285702203028
